2024-Sun-08 19:55:20 [   DEBUG] [urllib3.connectionpool] Starting new HTTPS connection (1): simple-books-api.glitch.me:443 (connectionpool.py:1051)
2024-Sun-08 19:55:22 [   DEBUG] [urllib3.connectionpool] https://simple-books-api.glitch.me:443 "GET /books?type=fiction&limit=10 HTTP/11" 200 283 (connectionpool.py:546)
2024-Sun-08 19:55:22 [    INFO] [testsimpleBookApi.test_getbooks] verifing fiction books within limit (test_getbooks.py:19)
2024-Sun-08 19:55:22 [   DEBUG] [urllib3.connectionpool] Starting new HTTPS connection (1): simple-books-api.glitch.me:443 (connectionpool.py:1051)
2024-Sun-08 19:55:24 [   DEBUG] [urllib3.connectionpool] https://simple-books-api.glitch.me:443 "GET /books?type=non-fiction&limit=20 HTTP/11" 200 135 (connectionpool.py:546)
2024-Sun-08 19:55:24 [    INFO] [testsimpleBookApi.test_getbooks] api book validation with non fiction book within limit (test_getbooks.py:36)
2024-Sun-08 19:55:24 [   DEBUG] [urllib3.connectionpool] Starting new HTTPS connection (1): simple-books-api.glitch.me:443 (connectionpool.py:1051)
2024-Sun-08 19:55:25 [   DEBUG] [urllib3.connectionpool] https://simple-books-api.glitch.me:443 "GET /books?type=non-fiction&limit=-1 HTTP/11" 400 78 (connectionpool.py:546)
2024-Sun-08 19:55:25 [    INFO] [testsimpleBookApi.test_getbooks] api book validation type of non_fiction beyond limit (test_getbooks.py:52)
2024-Sun-08 19:55:26 [   DEBUG] [urllib3.connectionpool] Starting new HTTPS connection (1): simple-books-api.glitch.me:443 (connectionpool.py:1051)
2024-Sun-08 19:55:27 [   DEBUG] [urllib3.connectionpool] https://simple-books-api.glitch.me:443 "GET /books?type=fiction&limit=100 HTTP/11" 400 81 (connectionpool.py:546)
2024-Sun-08 19:55:27 [    INFO] [testsimpleBookApi.test_getbooks] api book validation type fiction beyond limit (test_getbooks.py:66)
